"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"FONDS DE DOTATION GROUPE APLUS",France,"25000 - 49999",0,1.75,0,2018-04-19
"FRS CONSULTING",France,"25000 - 49999",0,1.5,0,2015-03-16
"FairPlay Consulting","United Kingdom","25000 - 49999",0,1,0,2017-10-25
"ForestFin, Florestas e Afins, Lda.",Portugal,"25000 - 49999",0,2.25,0,2016-05-09
FortyEight,Belgium,"25000 - 49999",0,2.5,11,2015-05-20
"G & H Associates (Europe) Ltd","United Kingdom","25000 - 49999",0,0.5,4,2014-05-08
"Genna Cabinet Sprl",Belgium,"25000 - 49999",1,1,5,2014-08-27
"Global Analytica Ltd","United Kingdom","25000 - 49999",1,2,0,2020-11-18
"Guess What",Portugal,"25000 - 49999",3,1.5,0,2015-01-19
IANUS,Belgium,"25000 - 49999",4,1,0,2013-10-15
IMConsult,Belgium,"25000 - 49999",0,1.25,0,2018-01-22
"Intercity Consulting International",Sweden,"25000 - 49999",0,1,0,2015-01-08
"Interrecherche SRL",Belgium,"25000 - 49999",2,0.5,0,2020-02-08
"Istudi srl",Italy,"25000 - 49999",1,0.5,0,2020-07-23
"JS Strategic Advisory Services",Belgium,"25000 - 49999",0,1.5,0,2019-03-15
"Joschka Fischer & Company",Germany,"25000 - 49999",0,1.5,1,2015-07-23
"LINKS ASSOCIATES",Romania,"25000 - 49999",0,2.5,0,2017-09-26
"LT Conseil Belgium",Belgium,"25000 - 49999",0,0.5,0,2015-01-26
"MacBrien Cuper Isnard",Belgium,"25000 - 49999",0,1,0,2015-05-13
"Madelin Innovation",Belgium,"25000 - 49999",0,1,1,2016-10-09
"Maurus Consulting GmbH",Germany,"25000 - 49999",1,1.25,0,2013-01-16
"Medin Europe SRL",Belgium,"25000 - 49999",0,1,0,2011-06-24
"Meseuro srl",Italy,"25000 - 49999",0,0.5,0,2020-12-14
"Miller & Meier Consulting",Germany,"25000 - 49999",0,0.5,0,2018-05-07
"Networks Matter",Belgium,"25000 - 49999",0,0.5,0,2018-04-30
"Northpoint Aviation Services Limited","United Kingdom","25000 - 49999",0,0.5,0,2015-05-14
"Optimum Consulting",France,"25000 - 49999",0,2,0,2017-06-04
"Oriel STAT A MATRIX","United States","25000 - 49999",0,2.25,0,2018-11-13
"PRé Sustainability B.V.",Netherlands,"25000 - 49999",0,3.25,0,2020-06-08
"Passerelle EU",Belgium,"25000 - 49999",0,1.75,1,2014-11-09
"Petri Lahesmaa Consulting",Belgium,"25000 - 49999",0,1,1,2016-03-04
"Pirovano Management Sprl",Belgium,"25000 - 49999",0,1,0,2012-02-12
"Romanoff & partners",Belgium,"25000 - 49999",2,1,0,2020-10-09
"SI-IES srl European Services Institute",Italy,"25000 - 49999",0,1.5,0,2014-02-19
"Société d'initiatives européennes",France,"25000 - 49999",0,0.75,0,2018-04-26
