"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"United Cities and Local Governments - Asia Pacific",Indonesia,1363211,0,16.25,0,2016-12-07
"Rupprecht Consult - Forschung & Beratung GmbH",Germany,1310000,0,14.5,0,2011-05-06
"Ensemble contre la peine de mort",France,1259418,0,9,1,2015-07-09
"American Chamber of Commerce to the European Union",Belgium,"1000000 - 1249999",9,7.25,151,2008-10-14
"Astellas Pharma Europe Limited","United Kingdom","1000000 - 1249999",0,0.5,0,2015-09-24
AstraZeneca,"United Kingdom","1000000 - 1249999",0,2.25,2,2011-06-07
COGEA,Italy,"1000000 - 1249999",0,9,0,2015-01-19
"Cambre Associates",Belgium,"1000000 - 1249999",22,15.5,5,2009-02-09
"Carnegie Europe",Belgium,"1000000 - 1249999",0,13.5,14,2015-09-24
"Chambre de commerce et d'industrie de région Paris Ile-de-France",France,"1000000 - 1249999",0,8,1,2010-12-09
"Cisco Systems Inc.","United States","1000000 - 1249999",2,4.5,59,2014-12-08
"Citigroup Inc.","United States","1000000 - 1249999",6,2.25,36,2012-01-02
"City of London Corporation","United Kingdom","1000000 - 1249999",3,8,11,2015-09-25
"Climate Neutral Investments",Switzerland,"1000000 - 1249999",0,9.75,0,2016-11-22
"Community Public Affairs",Belgium,"1000000 - 1249999",11,8.75,14,2014-01-14
"Conseil des Notariats de l'Union Européenne",Belgium,"1000000 - 1249999",5,5.75,4,2011-08-26
EURALIA,Belgium,"1000000 - 1249999",9,11.75,1,2009-12-31
"EUROPEAN TRADE UNION CONFEDERATION",Belgium,"1000000 - 1249999",8,22.25,195,2009-02-02
"Environmental Protection Engineering SA",Greece,"1000000 - 1249999",0,1,0,2016-11-07
"European Broadcasting Union - Union Européenne de Radio-télévision AISBL",Belgium,"1000000 - 1249999",6,7,41,2009-04-30
"European Chamber of Commerce in Korea","South Korea","1000000 - 1249999",0,0.25,12,2015-09-22
"European Institute for Export Compliance",Belgium,"1000000 - 1249999",0,69,0,2011-12-05
"European Telecommunications Network Operators' Association",Belgium,"1000000 - 1249999",4,3,74,2009-06-26
"European Telecommunications Standards Institute",France,"1000000 - 1249999",0,3.5,6,2015-03-09
"European Women's Lobby",Belgium,"1000000 - 1249999",7,4,21,2011-09-16
"European agri-cooperatives",Belgium,"1000000 - 1249999",9,18,127,2009-02-25
"European and Mediterranean Plant Protection Organization",France,"1000000 - 1249999",0,9,0,2016-12-21
"European farmers",Belgium,"1000000 - 1249999",11,18,149,2009-02-25
"Federation of European Securities Exchanges",Belgium,"1000000 - 1249999",6,4.75,14,2011-08-22
"GSMA Europe","United Kingdom","1000000 - 1249999",9,6.75,56,2011-12-22
"Hitachi Corporate Office, Europe",Japan,"1000000 - 1249999",5,6,11,2009-04-24
"IFPI Representing recording industry worldwide","United Kingdom","1000000 - 1249999",11,7,65,2009-06-29
"Institut Jacques Delors",France,"1000000 - 1249999",0,9.75,26,2015-05-12
"International Council on Clean Transportation","United States","1000000 - 1249999",0,4.5,10,2010-12-14
"Invest Europe - the voice of Private Capital",Belgium,"1000000 - 1249999",6,4,15,2009-04-28
"Liberty Global BV",Netherlands,"1000000 - 1249999",5,3.25,32,2012-02-02
LightingEurope,Belgium,"1000000 - 1249999",5,4.25,2,2010-06-08
"MESOLAVITIS TRAPEZIKON - EPENDITIKON YPIRESION",Greece,"1000000 - 1249999",0,4,0,2016-09-22
"Morgan Stanley","United Kingdom","1000000 - 1249999",0,0.75,13,2009-07-23
Orange,France,"1000000 - 1249999",7,6,76,2009-12-07
"Pfizer Inc.","United States","1000000 - 1249999",5,3,8,2008-12-18
"Plataforma per la Llengua",Spain,"1000000 - 1249999",0,17,1,2016-06-09
"Robert Bosch GmbH",Germany,"1000000 - 1249999",5,6.25,42,2008-10-24
"Rolls-Royce plc","United Kingdom","1000000 - 1249999",3,3.25,21,2010-01-26
SAP,Germany,"1000000 - 1249999",4,2.5,29,2013-07-22
