"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Climate Action Network Europe",Belgium,"1000000 - 1249999",8,13,103,2009-02-11
"Climate Bonds Initiative","United Kingdom","1000000 - 1249999",0,20,1,2011-05-23
"Community of European Railway and Infrastructure Companies",Belgium,"1000000 - 1249999",18,7,47,2008-07-02
"Confederation of Danish Industry",Denmark,"1000000 - 1249999",7,5.5,31,2008-09-22
"Conference of Peripheral Maritime Regions (CRPM)",France,"1000000 - 1249999",7,13,26,2008-11-28
"Conseil des Notariats de l'Union Européenne",Belgium,"1000000 - 1249999",4,7,4,2011-08-26
"Cooperatie Kottervisserij Nederland (VisNed)",Netherlands,"1000000 - 1249999",2,7,3,2014-05-12
"Covington & Burling LLP","United States","1000000 - 1249999",6,8,11,2015-05-15
EBU-UER,Belgium,"1000000 - 1249999",8,7.5,41,2009-04-30
EURALIA,Belgium,"1000000 - 1249999",5,11.75,1,2009-12-31
EUROALLIAGES,Belgium,"1000000 - 1249999",5,5.5,12,2011-03-17
"EUROPEAN TRADE UNION CONFEDERATION",Belgium,"1000000 - 1249999",9,22.25,195,2009-02-02
"Ecofys Netherlands B.V.",Netherlands,"1000000 - 1249999",1,6,8,2017-10-10
"Eni S.p.A.",Italy,"1000000 - 1249999",8,4.5,50,2011-11-29
"European Association Automotive Suppliers",Belgium,"1000000 - 1249999",3,5.25,50,2011-05-06
"European Association of Public Banks and Funding agencies AISBL",Belgium,"1000000 - 1249999",2,6,13,2009-01-14
"European Chamber of Commerce in Korea","South Korea","1000000 - 1249999",0,1.25,12,2015-09-22
"European Council on Refugees and Exiles",Belgium,"1000000 - 1249999",5,8.5,3,2009-08-19
"European Disability Forum",Belgium,"1000000 - 1249999",7,10,30,2010-07-19
"European Environmental Citizens' Organisation for Standardisation",Belgium,"1000000 - 1249999",1,11.25,7,2010-05-21
"European Health Forum Gastein",Austria,"1000000 - 1249999",1,6.25,8,2014-05-28
"European Mortgage Federation - European Covered Bond Council",Belgium,"1000000 - 1249999",8,9,7,2011-10-19
"European Partnership for Democracy",Belgium,"1000000 - 1249999",4,5,7,2014-08-18
"European Telecommunications Network Operators' Association",Belgium,"1000000 - 1249999",6,3,74,2009-06-26
"European Women's Lobby",Belgium,"1000000 - 1249999",13,4,21,2011-09-16
